,State,County,Year,Deaths,Population,Treatment,death_prop
559,Florida,Baker,2006,6.0,25021.0,Treatment,0.00023979856920187042
560,Florida,Bradford,2006,4.0,28610.0,Treatment,0.0001398112548060119
561,Florida,Calhoun,2006,3.0,13394.0,Treatment,0.0002239808869643124
562,Florida,Columbia,2006,7.0,66975.0,Treatment,0.00010451661067562523
563,Florida,DeSoto,2006,9.0,34764.0,Treatment,0.00025888850535036245
564,Florida,Dixie,2006,2.0,14859.0,Treatment,0.00013459855979541018
565,Florida,Flagler,2006,9.0,82285.0,Treatment,0.0001093759494440056
566,Florida,Franklin,2006,6.0,11134.0,Treatment,0.0005388898868331237
567,Florida,Gadsden,2006,9.0,46109.0,Treatment,0.00019518965928560584
568,Florida,Gilchrist,2006,0.0,16558.0,Treatment,0.0
569,Florida,Glades,2006,0.0,11093.0,Treatment,0.0
570,Florida,Gulf,2006,8.0,15713.0,Treatment,0.0005091325653917138
571,Florida,Hamilton,2006,7.0,14124.0,Treatment,0.0004956103086944209
572,Florida,Hardee,2006,2.0,28192.0,Treatment,7.094211123723042e-05
573,Florida,Hendry,2006,3.0,39106.0,Treatment,7.671457065411958e-05
574,Florida,Highlands,2006,5.0,97265.0,Treatment,5.140595280933532e-05
575,Florida,Holmes,2006,4.0,19055.0,Treatment,0.00020991865652059827
576,Florida,Jackson,2006,7.0,48832.0,Treatment,0.00014334862385321102
577,Florida,Jefferson,2006,5.0,13988.0,Treatment,0.00035744924220760654
578,Florida,Lafayette,2006,9.0,8013.0,Treatment,0.0011231748408835642
579,Florida,Leon,2006,6.0,258104.0,Treatment,2.3246443294175992e-05
580,Florida,Levy,2006,7.0,38240.0,Treatment,0.00018305439330543934
581,Florida,Liberty,2006,0.0,7729.0,Treatment,0.0
582,Florida,Madison,2006,8.0,18981.0,Treatment,0.000421474105684632
583,Florida,Nassau,2006,4.0,66529.0,Treatment,6.012415638293075e-05
584,Florida,Okeechobee,2006,9.0,39813.0,Treatment,0.00022605681561299073
585,Florida,Putnam,2006,0.0,73411.0,Treatment,0.0
586,Florida,Sumter,2006,6.0,68577.0,Treatment,8.749289120258979e-05
587,Florida,Suwannee,2006,4.0,38773.0,Treatment,0.00010316457328553375
588,Florida,Taylor,2006,9.0,20016.0,Treatment,0.0004496402877697842
