State,County,MME,Population,Year,Treatment,_merge,Prescr_rate
Florida,Jackson,90059099054.655,49006.0,2013,Treatment,both,1837715.770612884
Florida,Jackson,77061219361.83,48796.0,2014,Treatment,both,1579252.7945288548
Florida,Jefferson,1440587687.6160002,13988.0,2006,Treatment,both,102987.3954543895
Florida,Jefferson,1819472866.983,13854.0,2007,Treatment,both,131331.95228692074
Florida,Jefferson,2172037132.512,13982.0,2008,Treatment,both,155345.2390582177
Florida,Jefferson,2303743248.111988,14010.0,2009,Treatment,both,164435.63512576645
Florida,Jefferson,2456450917.03,14761.0,2010,Treatment,both,166414.9391660457
Florida,Jefferson,2540661305.99,14497.0,2011,Treatment,both,175254.2806090915
Florida,Jefferson,1796520931.53,14196.0,2012,Treatment,both,126551.20678571428
Florida,Jefferson,1873263359.89,14182.0,2013,Treatment,both,132087.38964109434
Florida,Jefferson,1356751945.975,14035.0,2014,Treatment,both,96669.18033309582
Florida,Lafayette,663152230.875,8013.0,2006,Treatment,both,82759.54459940098
Florida,Lafayette,777336085.8000001,8023.0,2007,Treatment,both,96888.45641281318
Florida,Lafayette,674520546.375,8054.0,2008,Treatment,both,83749.7574341942
Florida,Lafayette,661691714.1999999,7949.0,2009,Treatment,both,83242.13287205937
Florida,Lafayette,749467722.4,8870.0,2010,Treatment,both,84494.66994363022
Florida,Lafayette,754839543.15,8818.0,2011,Treatment,both,85602.12555568156
Florida,Lafayette,720706149.2399999,8813.0,2012,Treatment,both,81777.61820492453
Florida,Lafayette,885750103.995,8854.0,2013,Treatment,both,100039.5419014005
Florida,Lafayette,663028432.5,8859.0,2014,Treatment,both,74842.35607856417
Florida,Lake,1623708218731.4363,291330.0,2006,Treatment,both,5573432.941102655
Florida,Lake,2281823139930.6016,302170.0,2007,Treatment,both,7551454.942352324
Florida,Lake,2933125842174.504,307964.0,2008,Treatment,both,9524249.075133795
Florida,Lake,4221594328535.1177,312119.0,2009,Treatment,both,13525592.253387706
Florida,Lake,5565589925262.427,297052.0,2010,Treatment,both,18736079.62667286
Florida,Lake,5761462562807.348,299811.0,2011,Treatment,both,19216981.90795984
Florida,Lake,4959415210964.113,303372.0,2012,Treatment,both,16347636.601150118
Florida,Lake,4453879583280.97,308010.0,2013,Treatment,both,14460178.511350183
Florida,Lake,3830160577573.271,315736.0,2014,Treatment,both,12130895.994037015
Florida,Lee,15053914904495.28,565956.0,2006,Treatment,both,26599090.57328711
Florida,Lee,14807244420852.504,585264.0,2007,Treatment,both,25300111.43834663
Florida,Lee,17778040549634.727,588709.0,2008,Treatment,both,30198350.20296059
Florida,Lee,22753005187981.0,586908.0,2009,Treatment,both,38767583.99609649
Florida,Lee,36396500635879.79,618754.0,2010,Treatment,both,58822247.02527949
Florida,Lee,30936246696171.87,631368.0,2011,Treatment,both,48998756.18683853
Florida,Lee,14014176973214.62,644865.0,2012,Treatment,both,21731954.708682623
Florida,Lee,12720655730777.508,660929.0,2013,Treatment,both,19246629.714806747
Florida,Lee,11984051381949.97,679233.0,2014,Treatment,both,17643505.810156412
Florida,Leon,669726318014.1792,258104.0,2006,Treatment,both,2594792.4790556487
Florida,Leon,790368942684.5713,262720.0,2007,Treatment,both,3008407.9730685567
Florida,Leon,928663798476.0712,264597.0,2008,Treatment,both,3509729.129491533
Florida,Leon,1024836139963.322,265714.0,2009,Treatment,both,3856914.3513827724
Florida,Leon,1034870567181.7794,275487.0,2010,Treatment,both,3756513.2553687813
Florida,Leon,1149879781695.5886,278307.0,2011,Treatment,both,4131695.5078226156
Florida,Leon,1213223389388.705,283849.0,2012,Treatment,both,4274185.885413389
Florida,Leon,1337117086386.0857,282209.0,2013,Treatment,both,4738038.426790378
Florida,Leon,1139388869491.7815,284064.0,2014,Treatment,both,4011028.7452538214
Florida,Levy,85559539324.189,38240.0,2006,Treatment,both,2237435.651783185
Florida,Levy,113952853502.08598,38830.0,2007,Treatment,both,2934660.146847437
Florida,Levy,157852475379.81378,39199.0,2008,Treatment,both,4026951.5900868336
Florida,Levy,187372043600.85065,39147.0,2009,Treatment,both,4786370.439646733
Florida,Levy,200075967785.93335,40801.0,2010,Treatment,both,4903702.551063292
Florida,Levy,196775877837.7771,40243.0,2011,Treatment,both,4889692.066639592
Florida,Levy,152239788981.2176,39938.0,2012,Treatment,both,3811903.1744508385
Florida,Levy,117044516284.911,39582.0,2013,Treatment,both,2957013.700290814
Florida,Levy,99939564374.49,39508.0,2014,Treatment,both,2529603.2290799334
Florida,Liberty,146942745.6,7729.0,2006,Treatment,both,19011.87030663734
Florida,Liberty,184881228.9135,7798.0,2007,Treatment,both,23708.800835278278
Florida,Liberty,236736855.625,7966.0,2008,Treatment,both,29718.410196459954
Florida,Liberty,189837786.75000003,7983.0,2009,Treatment,both,23780.256388575726
Florida,Liberty,531233542.7,8365.0,2010,Treatment,both,63506.69966527197
Florida,Liberty,295558636.04999995,8227.0,2011,Treatment,both,35925.44500425428
Florida,Liberty,235533149.125,8244.0,2012,Treatment,both,28570.25098556526
Florida,Liberty,172925738.8,8308.0,2013,Treatment,both,20814.364323543574
Florida,Liberty,167026952.625,8363.0,2014,Treatment,both,19972.133519669977
Florida,Madison,3047917006.34005,18981.0,2006,Treatment,both,160577.26180601917
Florida,Madison,3541906829.9027257,18977.0,2007,Treatment,both,186642.08409668156
Florida,Madison,4114422274.5448494,18961.0,2008,Treatment,both,216993.94939849424
Florida,Madison,5003020608.130313,18901.0,2009,Treatment,both,264696.0800026619
Florida,Madison,6541296346.974999,19224.0,2010,Treatment,both,340267.1840915002
Florida,Madison,7787313443.075,19092.0,2011,Treatment,both,407883.5870037188
Florida,Madison,6868517670.8550005,18915.0,2012,Treatment,both,363125.43858604284
